id,language,category,query,keyword,response,enabled
28,en,Network & Connectivity,How do I change my saved Wi-Fi password?,"change wifi password, update wifi password, wrong password","Go to Settings > Wi-Fi, tap on the saved network, select the Security tab, enter the new password in the Password field, and tap Apply to save.",yes
29,en,Settings,How do I access Quick Settings on FuriOS?,"quick settings, notification panel, swipe down, toggles","Swipe down from the top of the screen to open the Quick Settings panel. Here you can toggle Wi-Fi, Bluetooth, Torch, Hotspot, and view notifications. Swipe down again to expand for more options.",yes
30,en,Hardware Features,How do I turn on the flashlight/torch on FuriOS?,"flashlight, torch, led light","Swipe down from the top of the screen to open Quick Settings, then tap the Torch icon to turn on the flashlight. Tap it again to turn it off.",yes
31,en,Settings,How do I clear notifications on FuriOS?,"clear notifications, dismiss notifications, remove notifications",Swipe down from the top of the screen to open the notification panel. Tap Clear all at the top right to dismiss all notifications at once. You can also swipe individual notifications left or right to dismiss them.,yes
32,en,Network & Connectivity,How do I quickly toggle Hotspot from the notification panel?,"quick hotspot, toggle hotspot, hotspot shortcut",Swipe down from the top of the screen to open Quick Settings. Tap the Hotspot icon to quickly toggle it on or off without going into Settings.,yes
33,en,Settings,What quick toggles are available in FuriOS notification panel?,"quick toggles, notification toggles, quick access","The Quick Settings panel (swipe down from top) includes toggles for: Wi-Fi, Bluetooth, Torch (flashlight), Hotspot, and shows the current date and battery percentage.",yes
34,en,General,Where are screenshots saved on FuriOS?,"screenshot location, screenshot folder, saved screenshots","Screenshots on FuriOS are saved to /home/furios/Pictures/Screenshots/. When you take a screenshot, a notification appears showing the full path to the saved file.",yes
35,en,Network & Connectivity,What tabs are available when viewing Wi-Fi network settings?,"wifi tabs, network settings tabs, wifi options","When you tap on a Wi-Fi network in Settings, you can access these tabs: Details (connection info), Identity (BSSID, MAC), IPv4 (IP configuration), IPv6 (IPv6 configuration), and Security (password and encryption).",yes
36,en,Network & Connectivity,How do I access Network settings on FuriOS?,"network settings, vpn, proxy",Go to Settings > Network. Here you can configure VPN connections and Proxy settings.,yes
37,en,General,How do I set up a VPN on FuriOS?,"vpn, add vpn, vpn setup","Go to Settings > Network > VPN and tap the + button. Choose your VPN type: L2TP, OpenVPN, PPTP, SSTP, Cisco Compatible (vpnc), or WireGuard. You can also import a VPN configuration from a file.",yes
38,en,Support,What VPN types are supported on FuriOS?,"vpn types, vpn protocols, vpn options","FuriOS supports: L2TP (Layer 2 Tunneling Protocol), OpenVPN, PPTP (Point-to-Point Tunneling), SSTP (Secure Socket Tunneling), Cisco Compatible VPN (vpnc), and WireGuard. You can also import VPN configurations from a file.",yes
39,en,General,How do I set up WireGuard VPN on FuriOS?,"wireguard, wireguard vpn, wireguard setup","Go to Settings > Network > VPN, tap +, and select WireGuard. Enter the Connection Name, Interface Name, Private Key, Listen Port (default 51820), and configure your Peers. You can also set MTU and fwmark values.",yes
40,en,Network & Connectivity,How do I configure a network proxy on FuriOS?,"proxy, network proxy, proxy settings",Go to Settings > Network > Proxy. Enable Network Proxy and set the Configuration to Automatic. Enter the Configuration URL for your proxy server.,yes
41,en,Storage & Recovery,How do I import a VPN configuration file?,"import vpn, vpn file, vpn config file","Go to Settings > Network > VPN, tap +, and select Import from file... to import an existing VPN configuration file.",yes
42,en,Network & Connectivity,How do I access Mobile Network settings?,"mobile network, cellular, mobile data, sim","Go to Settings > Mobile Network. Here you can manage Mobile Data, Data Roaming, Enabled Bands, IP Configuration, Access Point Names (APN), MMS settings, SIM Lock, and view Modem Details.",yes
43,en,Network & Connectivity,How do I turn on mobile data on FuriOS?,"mobile data, cellular data, data on",Go to Settings > Mobile Network and toggle on Mobile Data to access data using your mobile network.,yes
44,en,General,How do I enable data roaming on FuriOS?,"data roaming, roaming, international data",Go to Settings > Mobile Network and toggle on Data Roaming to use mobile data when roaming on other networks.,yes
45,en,Settings,How do I configure MMS settings on FuriOS?,"mms, multimedia messaging, mms settings, picture messages","Go to Settings > Mobile Network > Multimedia Messaging Service. Enter the Message Proxy, Message Center (MMSC) URL, Access Point Name (APN), Username, and Password for your carrier.",yes
46,en,Network & Connectivity,How do I lock my SIM card with a PIN?,"sim lock, sim pin, lock sim",Go to Settings > Mobile Network > SIM Lock and toggle on Lock SIM with PIN. You'll need to enter a PIN that will be required each time the device starts.,yes
47,en,Network & Connectivity,How do I view modem details on FuriOS?,"modem details, imei, network status, signal strength","Go to Settings > Mobile Network > Modem Details. This shows Carrier, Network Type (e.g., LTE), Signal Strength, Network Status, IMS Registration, Voice/SMS capability, Manufacturer, Model, Firmware Version, and IMEI.",yes
48,en,General,How do I find my IMEI number on FuriOS?,"imei, imei number, device id",Go to Settings > Mobile Network > Modem Details. Your IMEI number is displayed at the bottom of the modem information screen.,yes
49,en,Network & Connectivity,How do I select a mobile network manually?,"network selection, manual network, carrier selection",Go to Settings > Mobile Network > Network. Disable Automatic to manually select from available networks.,yes
50,en,Network & Connectivity,How do I connect a Bluetooth device to FuriOS?,"bluetooth, pair bluetooth, connect bluetooth",Go to Settings > Bluetooth. Make sure Bluetooth is enabled. Available devices will appear in the list - tap a device to pair and connect.,yes
51,en,Network & Connectivity,Can I receive files via Bluetooth on FuriOS?,"bluetooth file transfer, receive files bluetooth",Yes! Go to Settings > Bluetooth and ensure Bluetooth is on. Your device is now visible and available for Bluetooth file transfers. Transferred files are placed in the Downloads folder.,yes
52,en,Settings,How do I change the display scale on FuriOS?,"display scale, screen scale, zoom, ui size","Go to Settings > Displays and adjust the Scale dropdown. Options include 100%, 125%, 150%, 175%, and 200%.",yes
53,en,Settings,What is the FLX1s screen resolution and refresh rate?,"screen resolution, refresh rate, display specs",The FLX1s has a 720 x 1600 resolution with a 90.00 Hz refresh rate. View this in Settings > Displays.,yes
54,en,General,How do I enable Night Light on FuriOS?,"night light, blue light filter, eye strain, warm screen",Go to Settings > Displays > Night Light. Toggle on Night Light and adjust the Color Temperature slider. Night light makes the screen color warmer to help prevent eye strain and sleeplessness.,yes
55,en,General,How do I enable wake gestures on FuriOS?,"wake gesture, tilt to wake, lift to wake",Go to Settings > Displays and toggle on Wake Gesture to enable the wake gesture sensor. You can also enable Tilt To Wake Gesture to wake the screen by tilting the device.,yes
56,en,Settings,What display customization options are available on FuriOS?,"display customization, vivid mode, hdr, sharpness","Go to Settings > Displays > Display Customization. Options include: PQ Mode (vivid), Display Color, Content Color, Content Color Video, Sharpness, Dynamic Contrast, Dynamic Sharpness, Display Gamma, ISO Adaptive Sharpness, Ultra Resolution, and Video HDR.",yes
57,en,Settings,How do I change the sound output device on FuriOS?,"sound output, speaker, audio output, earpiece","Go to Settings > Sound and change the Output Device dropdown. Options include: Output to speaker, Parking port, Output to earpiece, and Null Output.",yes
58,en,Settings,How do I change the microphone input on FuriOS?,"microphone, input device, mic settings","Go to Settings > Sound and change the Input Device dropdown. Options include: Input from builtin mic, Parking port, Input from back mic, Input from voice call, and Null input.",yes
59,en,Settings,How do I change the alert sound on FuriOS?,"alert sound, notification sound, system sounds","Go to Settings > Sound > Alert Sound. Choose from: None, Click, String, Swing, or Hum.",yes
60,en,General,How do I test my speakers on FuriOS?,"test speakers, speaker test, audio test",Go to Settings > Sound and tap Test... next to Output. A popup will appear allowing you to select and test each speaker.,yes
61,en,Settings,How do I change power mode on FuriOS?,"power mode, performance mode, battery saver, power saving","Go to Settings > Power. Choose from: Performance (high performance and power usage), Balanced (standard), or Power Saver (reduced performance and power usage).",yes
62,en,General,How do I show battery percentage on FuriOS?,"battery percentage, battery level, show percentage",Go to Settings > Power and toggle on Show Battery Percentage to show the exact charge level in the top bar.,yes
63,en,FuriOS / FuriPhone,How do I enable automatic screen brightness on FuriOS?,"auto brightness, automatic brightness, adaptive brightness",Go to Settings > Power and toggle on Automatic Screen Brightness to adjust screen brightness based on the surrounding light.,yes
64,en,Settings,What is Batman power management?,"batman, batman power, power management",Batman is advanced power management for FuriOS. Go to Settings > Power > Batman Power Management to access Batman Power Saving Options for advanced power control.,yes
65,en,General,How do I change the screen blank delay on FuriOS?,"screen timeout, screen blank, auto off","Go to Settings > Power and adjust Automatic Screen Blank. Set the Delay (e.g., 5 minutes) for how long before the screen turns off after inactivity.",yes
66,en,Settings,How do I change the theme on FuriOS?,"theme, dark mode, light mode, appearance","Go to Settings > Appearance. Under Style, choose Default or Dark mode.",yes
67,en,General,How do I change the accent color on FuriOS?,"accent color, theme color, color scheme",Go to Settings > Appearance and select an Accent Color from the color palette to customize the system highlight color.,yes
68,en,General,How do I change the wallpaper on FuriOS?,"wallpaper, background, home screen background",Go to Settings > Appearance and tap + Add Picture... under Background to select a custom wallpaper image.,yes
69,en,FuriOS / FuriPhone,How do I view installed apps on FuriOS?,"installed apps, app list, apps",Go to Settings > Apps. You'll see a searchable list of all installed applications. Tap an app to view its details and permissions.,yes
70,en,Android Apps,How do I set default apps on FuriOS?,"default apps, default browser, default email","Go to Settings > Apps > Default Apps. Here you can set default apps for: Web, Mail, Calendar, Music, Video, Photos, Calls, and SMS.",yes
71,en,Settings,How do I configure removable media autoplay on FuriOS?,"media autostart, autoplay, removable media","Go to Settings > Apps > Default Apps and scroll to Removable Media. Toggle Media Autostart and set actions for CD Audio, DVD Video, Music Player, Photos, Software, and Other Media Types.",yes
72,en,Android Apps,How do I hide an app from the app grid on FuriOS?,"hide app, remove from launcher, hide from grid","Go to Settings > Apps, select the app, and toggle on Hide in App Grid to remove it from the app grid.",yes
73,en,General,How do I enable Do Not Disturb on FuriOS?,"do not disturb, dnd, silent mode",Go to Settings > Notifications and toggle on Do Not Disturb to silence notifications.,yes
74,en,Settings,How do I configure app notifications on FuriOS?,"app notifications, notification settings, notification banners","Go to Settings > Notifications and select an app. You can configure: Show in notifications list, Sound, Show Banners, Show Content, and Lock Screen settings for each app.",yes
75,en,General,How do I add a Google account on FuriOS?,"google account, add google, gmail","Go to Settings > Online Accounts and tap Google. Sign in with your browser to connect email, calendar, contacts, and files.",yes
76,en,Storage & Recovery,How do I add a Nextcloud account on FuriOS?,"nextcloud, add nextcloud, cloud storage","Go to Settings > Online Accounts and tap Nextcloud. Enter your server address (e.g., example.com or 192.168.0.82) to connect calendar, contacts, and files.",yes
77,en,General,How do I add a Microsoft 365 account on FuriOS?,"microsoft 365, office 365, outlook","Go to Settings > Online Accounts and tap Microsoft 365. You can connect using your organization account for email, calendars, contacts, and files.",yes
78,en,Storage & Recovery,How do I add an IMAP email account on FuriOS?,"imap, email account, smtp, email server","Go to Settings > Online Accounts > Email Server (IMAP/SMTP). Enter your Name, Email, Password, and configure IMAP/SMTP server settings with encryption options.",yes
79,en,General,What online accounts can I add on FuriOS?,"online accounts, cloud accounts, sync accounts","FuriOS supports: Nextcloud, Google, Microsoft 365, Microsoft Exchange, Email Server (IMAP/SMTP), Calendar, Contacts and Files (WebDAV), and Enterprise Authentication (Kerberos).",yes
80,en,General,How do I share media to other devices on FuriOS?,"media sharing, dlna, stream media","Go to Settings > Sharing. Enable Media Sharing to stream music, photos, and videos to devices on your current network.",yes
81,en,General,How do I change the device name on FuriOS?,"device name, hostname, phone name",Go to Settings > Sharing and edit the Device Name field to change how your device appears on the network.,yes
82,en,Settings,How do I change the primary mouse button on FuriOS?,"mouse button, left handed mouse, primary button","Go to Settings > Mouse & Touchpad. Under Primary Button, choose Left or Right to set the order of physical buttons on mice and touchpads.",yes
83,en,Settings,How do I add a keyboard input source or language?,"keyboard layout, input source, language keyboard",Go to Settings > Keyboard and tap + Add Input Source under Input Sources to add a new keyboard layout or input method.,yes
84,en,Settings,How do I switch keyboard input sources on FuriOS?,"switch keyboard, change language, input switching",Use the Super+Space keyboard shortcut to switch input sources. You can change this in Settings > Keyboard > View and Customize Shortcuts.,yes
85,en,Settings,How do I configure the Compose key on FuriOS?,"compose key, special characters, accents","Go to Settings > Keyboard > Compose Key. Enable it and choose a key (Right Alt, Left Super, Right Super, Menu key, Ctrl, Caps Lock, etc.). Use compose sequences like compose+o+c for ©.",yes
86,en,Settings,How do I view keyboard shortcuts on FuriOS?,"keyboard shortcuts, hotkeys, key bindings","Go to Settings > Keyboard > View and Customize Shortcuts. Categories include: Accessibility, Launchers, Navigation, Screenshots, Sound and Media, System, Typing, and Windows.",yes
87,en,Settings,How do I configure the Assistant button on FuriOS?,"assistant button, hardware button, side button","Go to Settings > Assistant button. Configure actions for Short, Long, and Double press gestures. Options include: Toggle flashlight, Open camera, Take picture, Take screenshot, Send Tab/Back/Escape key, and Manual autorotation.",yes
88,en,General,What actions can I assign to the Assistant button?,"assistant button actions, button functions","The Assistant button supports: No Action (Disable), Toggle flashlight, Open camera, Take picture, Take screenshot, Send Tab key, Manual autorotation, Send Back key, and Send Escape key.",yes
89,en,Android Apps,How do I start the Android container on FuriOS?,"android, start android, android apps, andromeda",Go to Settings > Android and tap Start Android Container. You can enable Auto start to automatically start Android on boot.,yes
90,en,Android Apps,Can I run Android apps on FuriOS?,"android apps, play store, android support",Yes! FuriOS runs Android apps via a container. Go to Settings > Android to manage the Android container. You can install apps from Aurora Store or F-Droid. The Android version is LineageOS 20.,yes
91,en,FuriOS / FuriPhone,How do I install Android apps on FuriOS?,"aurora store, f-droid, android app install","Open Aurora Store or F-Droid inside the Android container to browse and install Android apps. Once installed, app icons automatically appear in your Phosh app drawer alongside native Linux apps - no extra steps needed!",yes
92,en,Android Apps,How do I share files between Linux and Android on FuriOS?,"shared folder, android files, linux android share",Go to Settings > Android and enable Shared Folder to enable file sharing between the Linux host and Android guest.,yes
93,en,Android Apps,How do I enable NFC for Android apps on FuriOS?,"nfc android, nfc access",Go to Settings > Android and enable NFC Access to allow Android apps to access NFC inside the container.,yes
94,en,FuriOS / FuriPhone,How do I see which Android apps are installed on FuriOS?,"installed android apps, android app list",Go to Settings > Android and expand Installed Apps to see all Android apps installed in the container.,yes
95,en,Android Apps,How do I wipe Android data on FuriOS?,"wipe android, reset android, clear android data",Go to Settings > Android and tap Wipe data at the bottom to reset the Android container and clear all Android app data.,yes
96,en,Storage & Recovery,How do I change the USB mode on FuriOS?,"usb mode, mtp mode, file transfer","Go to Settings > USB. Options include: MTP (file transfer), RNDIS (Ethernet over USB), and CD-ROM mode. You can also set the USB Power Role.",yes
97,en,Storage & Recovery,What is RNDIS mode on FuriOS?,"rndis, ethernet over usb, usb tethering",RNDIS creates an Ethernet network over USB between your phone and computer. Enable it at Settings > USB. This allows SSH access and network sharing via USB cable.,yes
98,en,Storage & Recovery,What is USB CD-ROM mode on FuriOS?,"cd-rom mode, usb cdrom, virtual cdrom",CD-ROM mode makes your phone appear as a virtual CD-ROM drive to the computer. Enable at Settings > USB and select a CD-ROM image file.,yes
99,en,Settings,How do I configure GPS on FuriOS?,"gps, location, supl server",Go to Settings > GPS. You can configure the SUPL Server for assisted GPS. The default is supl.google.com.,yes
100,en,General,How do I encrypt my device on FuriOS?,"encryption, device encryption, luks",Go to Settings > Encryption to manage device encryption. You can encrypt your device storage for additional security.,yes
101,en,General,How do I add a printer on FuriOS?,"printer, printing, add printer",Go to Settings > Printers and tap Add a Printer... to set up a new printer.,yes
102,en,General,How do I enable the screen reader on FuriOS?,"screen reader, orca, accessibility, blind",Go to Settings > Accessibility > Seeing and enable Screen Reader to have on-screen items read aloud.,yes
103,en,General,How do I enable high contrast mode on FuriOS?,"high contrast, visibility, accessibility",Go to Settings > Accessibility > Seeing and enable High Contrast to make text and windows more visible.,yes
104,en,General,How do I make text larger on FuriOS?,"large text, bigger text, text size accessibility",Go to Settings > Accessibility > Seeing and enable Large Text to increase the size of text throughout the system.,yes
105,en,Settings,How do I change the cursor size on FuriOS?,"cursor size, pointer size, mouse cursor",Go to Settings > Accessibility > Seeing and adjust Cursor Size to make the mouse pointer easier to see.,yes
106,en,Settings,How do I enable visual alerts for sounds on FuriOS?,"visual alerts, flash alerts, deaf accessibility",Go to Settings > Accessibility > Hearing and enable Visual Alerts to flash the screen when an alert sound occurs.,yes
107,en,Settings,How do I enable sticky keys on FuriOS?,"sticky keys, accessibility keyboard, one finger typing",Go to Settings > Accessibility > Typing and enable Sticky Keys to treat modifier key sequences as key combinations.,yes
108,en,General,What accessibility options are available on FuriOS?,"accessibility, a11y options, special needs","FuriOS offers accessibility options in Settings > Accessibility: Seeing (screen reader, high contrast, large text, cursor size), Hearing (over-amplification, visual alerts), Typing (screen keyboard, repeat keys, cursor blinking, sticky/slow/bounce keys), and Pointing & Clicking (locate pointer, click assist, double-click delay).",yes
109,en,General,How do I set a screen lock on FuriOS?,"screen lock, password, pin lock, pattern","Go to Settings > Privacy & Security > Screen Lock. Choose Password (letters, numbers, symbols) or PIN (numbers only) to secure your device.",yes
110,en,General,How do I enable location services on FuriOS?,"location, gps, location services",Go to Settings > Privacy & Security > Location Services and turn it on. You can also control which apps have access to your location.,yes
111,en,Storage & Recovery,How do I clear file history on FuriOS?,"file history, recent files, privacy","Go to Settings > Privacy & Security > File History & Trash. Toggle File History off to stop tracking, or tap Clear History to delete recent file history.",yes
112,en,Hardware Features,How do I disable the camera on FuriOS?,"disable camera, camera privacy, camera access",Go to Settings > Privacy & Security > Camera and turn off camera access to prevent all apps from using the camera.,yes
113,en,General,How do I change the region or language on FuriOS?,"region, language, locale","Go to Settings > System > Region & Language. Set your Language, Formats (dates, times, numbers), and manage Input Sources.",yes
114,en,General,How do I change the date and time on FuriOS?,"date, time, timezone",Go to Settings > System > Date & Time. Enable Automatic Date & Time or set manually. You can also change the Time Zone and toggle 24-hour Time.,yes
115,en,FuriOS / FuriPhone,How do I enable SSH on FuriOS?,"ssh, remote access, secure shell","Go to Settings > System > Secure Shell and enable SSH. If the option is not available, install OpenSSH server by running sudo apt install openssh-server in the terminal.",yes
116,en,FuriOS / FuriPhone,How do I connect to my device via SSH?,"ssh connect, remote terminal, ssh into phone","First enable SSH on your device. Then either: 1) Connect via Wi-Fi using ssh user@phone-ip-address, or 2) Enable RNDIS at Settings > USB for USB tethering, then SSH to the phone's USB network IP (typically 10.15.19.82). The default username is furios.",yes
117,en,FuriOS / FuriPhone,How do I check what version of FuriOS I have?,"version, furios version, software version, about","Go to Settings > System > About to see your FuriOS version, hardware info (MediaTek Dimensity 900, Mali-G68 MC4 GPU, 7.5 GiB RAM), and device name.",yes
118,en,FuriOS / FuriPhone,How do I check for software updates on FuriOS?,"software updates, update phone, system updates",Go to Settings > System > Software Updates or open Upgrades from the app drawer to check for and install updates.,yes
119,en,General,How do I add a user on FuriOS?,"add user, multiple users, user account",Go to Settings > System > Users and tap Add User... to create a new user account. You can also enable Automatic Login from this screen.,yes
120,en,Settings,What is Mobile Settings on FuriOS?,"mobile settings, phosh settings, phone settings","Mobile Settings is a separate app from the main Settings that controls Phosh-specific features like top bar customization, convergence mode, on-screen keyboard layouts, and experimental features.",yes
121,en,Settings,How do I customize the quick settings on FuriOS?,"quick settings, top bar, toggles customize","Open Mobile Settings > Top Bar. Toggle which quick settings appear: Docked/Undocked mode, Dark mode, Night light, Camera, Microphone, Wi-Fi, Wwan (cellular), Bluetooth, Rotation Lock, Battery, Quiet/DND, Flashlight, VPN, Location, Screenshots, and more.",yes
122,en,Android Apps,How do I customize the app overview favorites on FuriOS?,"favorites, overview, dock apps",Open Mobile Settings > Overview. Tap Favorites to add/remove apps that appear in your bottom favorites bar.,yes
123,en,FuriOS / FuriPhone,How do I use haptic feedback on FuriOS?,"haptic, vibration feedback, feedback profiles","Open Mobile Settings > Feedback. Choose from Full, Silent, or Quiet profiles. Full enables haptic feedback for keyboard typing and other actions.",yes
124,en,Settings,How do I change the UI scaling on FuriOS?,"scaling, ui scale, display scaling, compositor",Open Mobile Settings > Compositor. Adjust the Scale slider to change overall UI scaling.,yes
125,en,General,How do I add widgets to the lock screen on FuriOS?,"lockscreen widgets, lock screen customize","Open Mobile Settings > Lockscreen. Tap Lockscreen Widgets to add widgets for clocks, weather, or other information that display on your lock screen.",yes
126,en,General,How do I enable convergence mode on FuriOS?,"convergence, desktop mode, dock mode, hub",Open Mobile Settings > Convergence. Enable Enable docked mode to use desktop mode when connected to the Convergence Hub (HUB1) or an external display.,yes
127,en,Settings,How do I change the on-screen keyboard layout on FuriOS?,"osk, keyboard layout, squeekboard","Open Mobile Settings > On Screen Keyboard. Choose from available layouts like US, Terminal, German, French, Spanish, and others.",yes
128,en,Settings,How do I open or close the on-screen keyboard manually on FuriOS?,"osk toggle, show keyboard, hide keyboard",Hold down the white bar at the bottom of the screen until the keyboard pops open or closed.,yes
129,en,General,How do I enable emergency alerts on FuriOS?,"emergency alerts, amber alerts, wireless alerts","Open Mobile Settings > Emergency Alerts to configure wireless emergency alerts like Amber Alerts, Extreme Threats, and Severe Threats.",yes
130,en,General,How do I view sensor data on FuriOS?,"sensors, accelerometer, gyroscope","Open Mobile Settings > Sensors to see real-time data from your device's sensors including accelerometer, gyroscope, proximity sensor, and more.",yes
